Date,Close,Open,High,Low,Vol,% Change
2009-01-02,313.34,312.49,313.34,312.18,5.63K,-0.72%
2009-01-05,311.91,308.77,311.91,308.25,7.92K,-0.46%
2009-01-06,314.04,312.91,315.02,312.88,12.97K,0.68%
2009-01-07,319.58,320.40,322.59,319.29,14.75K,1.76%
2009-01-08,314.15,315.92,318.79,313.04,14.94K,-1.70%
2009-01-09,313.40,313.75,313.82,312.12,8.48K,-0.24%
2009-01-12,312.18,311.24,312.65,310.33,6.52K,-0.39%
2009-01-13,307.13,308.57,309.16,306.92,8.64K,-1.62%
2009-01-14,307.98,306.14,310.33,306.14,8.68K,0.28%
2009-01-15,304.01,304.31,305.54,304.01,6.37K,-1.29%
2009-01-16,306.12,305.72,307.10,305.04,7.61K,0.69%
2009-01-19,304.98,305.89,306.38,304.53,4.75K,-0.37%
2009-01-20,302.86,303.11,303.53,302.74,5.29K,-0.70%
2009-01-21,300.04,300.92,301.97,300.02,5.23K,-0.93%
2009-01-22,301.12,300.68,302.29,300.68,4.67K,0.36%
2009-01-23,303.21,300.38,303.21,300.38,4.62K,0.69%
2009-02-02,297.52,301.12,301.30,297.52,5.36K,-1.88%
2009-02-03,288.69,291.60,292.18,288.69,8.20K,-2.97%
2009-02-04,286.11,286.83,290.99,286.11,5.68K,-0.89%
2009-02-05,277.81,284.34,284.34,277.81,7.58K,-2.90%
2009-02-06,281.63,279.74,281.63,277.06,7.48K,1.38%
2009-02-09,287.57,285.55,287.83,284.29,5.77K,2.11%
2009-02-10,282.02,282.82,283.15,281.60,6.78K,-1.93%
2009-02-11,276.22,275.06,276.71,274.83,7.74K,-2.06%
2009-02-12,276.09,275.37,277.83,275.37,8.39K,-0.05%
2009-02-13,274.51,274.21,275.29,274.21,5.62K,-0.57%
2009-02-16,272.31,274.86,274.91,272.07,5.57K,-0.80%
2009-02-17,263.07,268.76,269.30,263.07,11.43K,-3.39%
2009-02-18,255.09,255.18,256.74,254.20,11.31K,-3.03%
2009-02-19,254.85,257.31,258.21,253.37,9.55K,-0.09%
2009-02-20,252.57,252.42,252.57,250.54,8.08K,-0.89%
2009-02-23,244.02,247.04,247.64,243.81,11.35K,-3.39%
2009-02-24,235.50,236.57,236.70,234.66,11.58K,-3.49%
2009-02-25,244.33,241.90,244.46,241.45,10.04K,3.75%
2009-02-26,242.53,241.78,242.76,237.88,13.56K,-0.74%
2009-02-27,245.74,239.75,246.06,239.69,11.33K,1.32%
2009-03-02,247.66,244.23,247.74,244.23,8.97K,0.78%
2009-03-03,241.46,241.79,242.51,240.96,10.10K,-2.50%
2009-03-04,244.36,243.07,245.37,242.92,7.87K,1.20%
2009-03-05,246.68,249.69,249.69,246.68,8.67K,0.95%
2009-03-06,245.70,244.60,245.70,243.76,7.90K,-0.40%
2009-03-09,247.85,246.99,247.85,246.52,10.55K,0.88%
2009-03-10,251.88,249.71,251.88,248.00,12.79K,1.63%
2009-03-11,255.85,258.42,258.42,255.85,17.79K,1.58%
2009-03-12,251.01,251.87,254.42,249.76,19.72K,-1.89%
2009-03-13,251.44,252.55,253.23,251.44,12.87K,0.17%
2009-03-16,254.56,252.68,254.56,252.45,12.27K,1.24%
2009-03-17,263.20,257.60,263.20,257.60,22.00K,3.39%
2009-03-18,273.39,273.29,273.39,272.42,28.92K,3.87%
2009-03-19,267.04,272.92,276.81,267.04,32.73K,-2.32%
2009-03-20,266.62,264.76,269.90,264.76,16.70K,-0.16%
2009-03-23,260.16,264.86,265.11,260.16,17.35K,-2.42%
2009-03-24,270.62,271.17,271.36,269.52,24.72K,4.02%
2009-03-25,277.63,270.03,278.29,269.64,28.35K,2.59%
2009-03-26,286.25,285.25,286.25,283.27,26.99K,3.10%
2009-03-27,287.41,292.64,292.85,287.41,35.64K,0.41%
2009-03-30,282.38,281.60,287.09,281.06,26.28K,-1.75%
2009-03-31,280.67,278.53,280.67,276.59,22.96K,-0.61%
2009-04-01,289.52,282.07,289.52,282.07,22.18K,3.15%
2009-04-02,297.30,293.95,297.30,292.38,29.42K,2.69%
2009-04-03,310.28,306.61,310.28,306.61,42.34K,4.37%
2009-04-07,322.36,313.72,322.36,309.82,49.34K,3.89%
2009-04-08,313.76,316.65,328.45,313.39,55.23K,-2.67%
2009-04-09,311.72,316.73,316.73,309.97,35.58K,-0.65%
2009-04-10,325.05,323.73,325.89,323.73,30.44K,4.28%
2009-04-13,340.01,334.43,340.01,334.43,27.90K,4.60%
2009-04-14,347.07,344.19,347.77,339.18,53.58K,2.08%
2009-04-15,339.29,344.09,347.81,338.57,62.25K,-2.24%
2009-04-16,343.88,346.19,346.19,339.71,45.42K,1.35%
2009-04-17,334.14,341.19,341.19,329.29,68.40K,-2.83%
2009-04-20,318.89,319.21,319.62,318.85,18.21K,-4.56%
2009-04-21,312.77,309.84,312.77,305.00,27.13K,-1.92%
2009-04-22,321.86,313.87,323.88,313.87,54.04K,2.91%
2009-04-23,315.20,320.49,324.89,315.20,29.05K,-2.07%
2009-04-24,309.90,308.62,309.90,304.49,28.91K,-1.68%
2009-04-27,313.69,315.61,316.76,311.12,21.54K,1.22%
2009-04-28,315.71,311.10,315.71,310.44,22.10K,0.64%
2009-04-29,321.63,315.67,321.63,315.44,25.85K,1.88%
2009-05-04,336.64,336.31,336.64,336.31,14.33K,4.67%
2009-05-05,351.32,352.49,352.56,351.14,27.65K,4.36%
2009-05-06,350.14,356.08,357.51,348.83,78.91K,-0.34%
2009-05-07,363.85,357.99,364.45,357.99,42.06K,3.92%
2009-05-08,366.22,363.92,370.68,363.92,49.23K,0.65%
2009-05-11,372.95,371.33,376.92,370.36,43.66K,1.84%
2009-05-12,381.97,374.11,382.05,371.12,45.74K,2.42%
2009-05-13,378.25,382.66,386.30,378.25,52.43K,-0.97%
2009-05-14,376.75,372.49,376.75,368.06,52.84K,-0.40%
2009-05-15,390.16,379.37,390.16,379.37,52.79K,3.56%
2009-05-18,390.85,390.36,395.44,390.36,50.62K,0.18%
2009-05-19,400.90,399.64,404.35,399.32,53.88K,2.57%
2009-05-20,410.38,402.37,412.21,402.37,60.80K,2.36%
2009-05-21,412.51,410.90,416.90,410.90,63.70K,0.52%
2009-05-22,404.58,408.26,410.34,400.93,71.47K,-1.92%
2009-05-25,421.75,409.45,422.06,409.45,45.67K,4.24%
2009-05-26,425.03,425.08,429.92,423.96,54.68K,0.78%
2009-05-27,425.17,426.51,431.39,423.20,59.29K,0.03%
2009-05-28,415.45,421.88,421.90,414.68,57.83K,-2.29%
2009-05-29,411.64,419.43,420.30,409.00,48.05K,-0.92%
2009-06-01,426.43,418.75,427.63,418.44,42.48K,3.59%
2009-06-02,440.56,436.04,446.08,436.04,52.80K,3.31%
2009-06-03,444.79,443.22,447.33,442.55,57.55K,0.96%
2009-06-04,458.19,446.18,458.43,446.18,60.65K,3.01%
2009-06-05,478.72,464.66,479.16,464.66,47.09K,4.48%
2009-06-08,501.49,488.98,501.49,488.98,32.67K,4.76%
2009-06-09,512.46,503.65,514.73,503.65,78.25K,2.19%
2009-06-10,497.51,509.11,510.26,494.60,101.78K,-2.92%
2009-06-11,511.27,499.68,514.38,499.68,64.25K,2.77%
2009-06-12,509.59,520.28,525.22,509.06,66.36K,-0.33%
2009-06-15,493.52,506.00,506.00,487.27,75.63K,-3.15%
2009-06-16,471.97,477.52,477.52,471.07,46.31K,-4.37%
2009-06-17,472.47,465.32,472.47,455.78,68.65K,0.11%
2009-06-18,479.27,476.56,487.61,474.69,57.23K,1.44%
2009-06-19,475.22,485.82,486.87,472.11,50.36K,-0.85%
2009-06-22,458.11,458.36,458.47,458.11,41.62K,-3.60%
2009-06-23,438.55,442.46,442.46,437.44,31.95K,-4.27%
2009-06-24,456.22,440.70,457.49,440.70,52.65K,4.03%
2009-06-25,453.76,471.37,471.37,453.28,52.74K,-0.54%
2009-06-26,461.37,453.42,461.37,453.31,39.12K,1.68%
2009-06-29,460.42,461.99,465.99,459.69,28.87K,-0.21%
2009-06-30,448.29,462.51,462.51,447.65,40.28K,-2.63%
2009-07-01,430.00,439.58,439.58,429.46,45.21K,-4.08%
2009-07-02,433.79,427.89,436.91,422.35,43.04K,0.88%
2009-07-03,435.44,425.11,435.44,425.11,28.63K,0.38%
2009-07-06,454.27,442.40,454.27,442.29,33.62K,4.32%
2009-07-07,447.63,450.48,455.40,446.93,47.81K,-1.46%
2009-07-08,446.79,442.99,448.96,440.23,32.75K,-0.19%
2009-07-09,446.40,450.12,452.08,445.43,27.36K,-0.09%
2009-07-10,438.83,445.82,445.98,437.33,34.19K,-1.70%
2009-07-13,426.67,435.83,435.83,426.67,29.90K,-2.77%
2009-07-14,418.55,425.09,425.47,415.81,33.26K,-1.90%
2009-07-15,427.05,424.10,430.78,424.10,23.31K,2.03%
2009-07-16,433.47,438.07,440.43,432.22,30.06K,1.50%
2009-07-17,428.67,431.94,431.94,427.75,25.58K,-1.11%
2009-07-20,412.88,415.29,415.31,411.39,28.74K,-3.68%
2009-07-21,416.43,412.97,418.22,412.23,26.24K,0.86%
2009-07-22,419.48,423.40,423.40,419.08,20.86K,0.73%
2009-07-23,434.20,417.65,434.20,417.21,25.76K,3.51%
2009-07-24,454.71,444.96,454.71,444.96,28.54K,4.72%
2009-07-27,469.71,462.25,470.19,460.22,62.33K,3.30%
2009-07-28,462.98,467.34,472.58,462.68,61.31K,-1.43%
2009-07-29,458.04,464.39,470.23,458.04,36.28K,-1.07%
2009-07-30,451.91,451.80,455.23,444.95,31.55K,-1.34%
2009-07-31,466.76,457.55,466.76,457.55,38.51K,3.29%
2009-08-03,467.93,466.82,473.25,465.36,35.11K,0.25%
2009-08-04,476.59,475.09,477.61,472.64,46.18K,1.85%
2009-08-05,481.29,474.38,481.29,472.33,42.21K,0.99%
2009-08-06,481.44,481.61,490.99,481.27,60.75K,0.03%
2009-08-07,480.65,480.42,483.46,478.64,42.23K,-0.16%
2009-08-10,491.20,485.92,492.33,483.68,48.04K,2.19%
2009-08-11,494.17,490.96,494.68,490.46,50.88K,0.60%
2009-08-12,497.16,498.76,501.57,496.80,64.87K,0.61%
2009-08-13,503.58,501.99,506.60,501.99,70.35K,1.29%
2009-08-14,506.99,503.70,509.27,502.65,57.91K,0.68%
2009-08-17,500.08,505.49,508.51,500.08,45.76K,-1.36%
2009-08-18,499.69,496.79,501.63,495.46,48.15K,-0.08%
2009-08-19,508.46,505.00,508.46,503.36,46.80K,1.76%
2009-08-20,513.90,513.84,515.24,510.40,62.04K,1.07%
2009-08-21,519.17,522.11,530.45,519.17,84.12K,1.03%
2009-08-24,528.20,522.15,528.84,522.15,58.26K,1.74%
2009-08-25,528.85,532.01,532.91,527.04,69.58K,0.12%
2009-08-26,525.95,529.97,532.74,525.95,55.52K,-0.55%
2009-08-27,527.04,527.13,529.67,523.18,49.98K,0.21%
2009-08-28,536.53,533.61,536.53,530.66,58.22K,1.80%
2009-08-31,546.78,541.89,547.38,541.89,75.09K,1.91%
2009-09-01,547.69,545.05,549.59,542.41,73.20K,0.17%
2009-09-03,540.81,541.00,548.38,539.47,68.05K,-1.26%
2009-09-04,528.49,543.01,544.31,528.49,78.74K,-2.28%
2009-09-07,524.51,528.16,528.16,513.49,60.73K,-0.75%
2009-09-08,537.81,529.96,538.59,529.76,49.01K,2.54%
2009-09-09,536.11,539.90,542.00,536.11,57.25K,-0.32%
2009-09-10,540.19,535.52,541.90,535.39,52.98K,0.76%
2009-09-11,547.99,548.99,549.62,547.84,63.00K,1.44%
2009-09-14,556.59,551.70,559.71,551.70,65.46K,1.57%
2009-09-15,556.75,558.43,562.23,553.30,72.35K,0.03%
2009-09-16,556.98,560.46,562.49,556.98,68.35K,0.04%
2009-09-17,561.19,559.35,564.23,553.20,76.60K,0.76%
2009-09-18,571.01,561.66,571.01,561.66,65.82K,1.75%
2009-09-21,577.97,578.32,581.01,577.96,69.19K,1.22%
2009-09-22,582.85,578.64,585.51,577.87,75.33K,0.84%
2009-09-23,582.11,587.40,594.32,582.11,91.82K,-0.13%
2009-09-24,574.78,576.83,583.64,572.16,72.77K,-1.26%
2009-09-25,582.84,574.10,582.84,574.10,77.64K,1.40%
2009-09-28,582.02,585.83,590.91,582.02,75.63K,-0.14%
2009-09-29,582.59,582.08,587.87,581.23,85.02K,0.10%
2009-09-30,580.90,583.16,586.26,578.32,75.12K,-0.29%
2009-10-01,568.99,581.80,581.80,568.99,65.33K,-2.05%
2009-10-02,549.73,552.97,556.16,544.32,77.26K,-3.38%
2009-10-05,549.00,553.21,556.55,543.20,49.97K,-0.13%
2009-10-06,552.03,554.08,557.08,550.49,44.41K,0.55%
2009-10-07,566.42,560.79,569.58,560.22,47.37K,2.61%
2009-10-08,571.84,570.46,571.84,566.04,52.42K,0.96%
2009-10-09,581.99,575.39,582.52,575.39,70.09K,1.77%
2009-10-12,594.30,588.68,595.69,587.11,76.23K,2.12%
2009-10-13,589.89,594.20,597.40,589.49,85.58K,-0.74%
2009-10-14,605.65,590.84,605.65,590.84,85.91K,2.67%
2009-10-15,617.38,612.02,626.11,612.02,107.21K,1.94%
2009-10-16,609.54,616.44,619.52,609.54,123.42K,-1.27%
2009-10-19,607.11,609.03,612.01,605.80,90.07K,-0.40%
2009-10-20,616.58,615.27,617.08,613.62,91.28K,1.56%
2009-10-21,618.48,617.14,622.26,614.73,93.97K,0.31%
2009-10-22,624.10,619.53,625.02,619.05,98.26K,0.91%
2009-10-23,615.68,626.14,633.21,615.68,137.06K,-1.35%
2009-10-26,609.34,615.58,623.71,608.26,86.90K,-1.03%
2009-10-27,596.78,602.61,602.61,590.71,95.58K,-2.06%
